,ClosePrice,ListPrice,OriginalListPrice,LivingArea,LotSizeAcres,BedroomsTotal,BathroomsTotalInteger,DaysOnMarket,YearBuilt
count,448249.0,448253.0,447426.0,447999.0,413454.0,448241.0,448183.0,448253.0,447851.0
mean,1183711.1399838037,1143209.4654257752,1228305.842457658,1904.1828796492848,62.18618790893304,3.205115105490127,2.5384452333087153,37.32667489118868,1978.6228165171005
std,5562462.390596198,1363550.5231092812,6729387.174913172,25447.721433842482,15369.243121024703,1.0665965996836186,1.1303531155972197,53.62885199839917,26.320774695197017
min,0.0,525.0,0.0,0.0,0.0,0.0,0.0,-288.0,1776.0
5%,340000.0,345000.0,349900.0,840.0,0.03,2.0,1.0,1.0,1930.0
25%,575000.0,578000.0,585000.0,1248.0,0.12,3.0,2.0,8.0,1960.0
50%,825000.0,819000.0,829000.0,1646.0,0.1666,3.0,2.0,18.0,1979.0
75%,1300000.0,1295000.0,1299000.0,2224.0,0.2743,4.0,3.0,48.0,1999.0
95%,2854716.79999999,2875000.0,2900000.0,3563.0999999999767,2.8607,5.0,4.0,132.0,2022.0
max,989500000.0,137500000.0,1390000000.0,17021321.0,7810698.3564,45.0,175.0,12430.0,2027.0
